NAME,lat,lon
Columbia,46.3165415,-117.92597728161297
Franklin,46.4517395,-118.94320858470127
Lewis,46.6229515,-122.3836651300322
Mason,47.338466499999996,-123.16190394568778
Stevens,48.394893999999994,-117.84603113636325
Adams,47.087663500000005,-118.4702608508417
Asotin,46.200604,-117.18091439615607
Benton,46.383707,-119.56721076251907
Cowlitz,46.1281375,-122.62054738374178
Douglas,47.7052765,-119.75495880617872
Ferry,48.394893999999994,-118.51744320221573
Garfield,46.360895,-117.55280224917557
Grant,47.290881999999996,-119.49236660996324
Island,48.164252000000005,-122.49885300179592
Kittitas,47.184141499999996,-120.67356580477434
Klickitat,45.847091000000006,-120.73833056159393
Skamania,45.95103,-121.92842752469345
Whitman,46.870338000000004,-117.50889269668474
Clark,45.795291500000005,-122.51495916011325
Kitsap,47.671798499999994,-122.64703949556501
King,47.432137499999996,-121.8791041866262
Lincoln,47.460372500000005,-118.40033186961588
Pend Oreille,48.525441,-117.26762199332806
Pierce,47.031931,-122.04177318141103
Spokane,47.618335,-117.43157630455198
Thurston,46.986667,-122.90152821583045
Wahkiakum,46.2653465,-123.34269723294628
Yakima,46.581061000000005,-120.64917263567418
Chelan,47.92873,-120.52649489004332
Okanogan,48.439620500000004,-119.74715256376841
Jefferson,47.827674,-123.60870333122693
Pacific,46.515198,-123.63560694654748
San Juan,48.565946,-122.88085492236509
Snohomish,48.035373500000006,-121.69718394698366
Walla Walla,46.3274835,-118.50038325402905
Whatcom,48.8251185,-121.72626138664606
Skagit,48.475912,-121.75495124117703
Clallam,48.129505,-124.0731770089659
Grays Harbor,47.160413500000004,-123.84229111763986
