Residential County,YearMonth,Fuel Type,Primary Use Class,Counts
Adams,2023-01,Electric,Commercial,1
Adams,2023-01,Electric,Passenger Vehicle,1
Adams,2023-02,Electric,Truck,1
Adams,2023-03,Electric,Passenger Vehicle,1
Adams,2023-04,Electric,Passenger Vehicle,4
Adams,2023-05,Electric,Medium-Speed Electric Truck,1
Adams,2023-05,Electric,Motorcycle,1
Adams,2023-05,Electric,Passenger Vehicle,4
Adams,2023-06,Electric,Passenger Vehicle,3
Adams,2023-06,Electric,Truck,1
Adams,2023-07,Electric,Passenger Vehicle,3
Adams,2023-08,Electric,Passenger Vehicle,1
Adams,2023-09,Electric,Neighborhood Electric Vehicle,1
Adams,2023-09,Electric,Passenger Vehicle,1
Adams,2023-10,Electric,Passenger Vehicle,1
Adams,2023-11,Electric,Passenger Vehicle,1
Adams,2023-12,Electric,Commercial,1
Adams,2023-12,Electric,Passenger Vehicle,3
Adams,2024-01,Electric,Passenger Vehicle,1
Adams,2024-01,Electric,Truck,1
Adams,2024-02,Electric,Passenger Vehicle,1
Adams,2024-03,Electric,Passenger Vehicle,1
Adams,2024-03,Electric,Truck,1
Adams,2024-04,Electric,Passenger Vehicle,2
Adams,2024-05,Electric,Passenger Vehicle,1
Adams,2024-05,Electric,Truck,1
Adams,2024-06,Electric,Passenger Vehicle,5
Adams,2024-06,Electric,Truck,1
Adams,2024-07,Electric,Off Road Vehicle,1
Adams,2024-07,Electric,Passenger Vehicle,1
Adams,2024-08,Electric,Passenger Vehicle,4
Adams,2024-09,Electric,Moped,1
Adams,2024-09,Electric,Passenger Vehicle,6
Adams,2024-10,Electric,Passenger Vehicle,3
Adams,2024-10,Electric,Truck,1
Adams,2024-11,Electric,Medium-Speed Electric Vehicle,1
Adams,2024-11,Electric,Passenger Vehicle,6
Adams,2024-12,Electric,Commercial,1
Adams,2024-12,Electric,Neighborhood Electric Vehicle,1
Adams,2024-12,Electric,Passenger Vehicle,3
Adams,2024-12,Electric,Truck,1
Adams,2025-01,Electric,Passenger Vehicle,6
Adams,2025-02,Electric,Passenger Vehicle,3
Adams,2025-02,Electric,Truck,1
Asotin,2023-01,Electric,Passenger Vehicle,3
Asotin,2023-02,Electric,Passenger Vehicle,3
Asotin,2023-03,Electric,Passenger Vehicle,4
Asotin,2023-04,Electric,Motorhome,1
Asotin,2023-04,Electric,Passenger Vehicle,4
Asotin,2023-05,Electric,Passenger Vehicle,6
Asotin,2023-06,Electric,Medium-Speed Electric Vehicle,1
Asotin,2023-06,Electric,Motorcycle,1
Asotin,2023-06,Electric,Neighborhood Electric Vehicle,1
Asotin,2023-06,Electric,Off Road Vehicle,1
Asotin,2023-06,Electric,Passenger Vehicle,1
Asotin,2023-07,Electric,Neighborhood Electric Vehicle,1
Asotin,2023-07,Electric,Passenger Vehicle,4
Asotin,2023-08,Electric,Off Road Vehicle,1
Asotin,2023-08,Electric,Passenger Vehicle,4
Asotin,2023-09,Electric,Passenger Vehicle,2
Asotin,2023-10,Electric,Passenger Vehicle,4
Asotin,2023-11,Electric,Passenger Vehicle,3
Asotin,2023-12,Electric,Passenger Vehicle,3
Asotin,2024-01,Electric,Passenger Vehicle,4
Asotin,2024-02,Electric,Passenger Vehicle,4
Asotin,2024-02,Electric,Truck,1
Asotin,2024-03,Electric,Passenger Vehicle,6
Asotin,2024-04,Electric,Motorhome,1
Asotin,2024-04,Electric,Passenger Vehicle,3
Asotin,2024-04,Electric,Truck,1
Asotin,2024-05,Electric,Medium-Speed Electric Vehicle,1
Asotin,2024-05,Electric,Passenger Vehicle,9
Asotin,2024-06,Electric,Motorcycle,1
Asotin,2024-06,Electric,Neighborhood Electric Vehicle,1
Asotin,2024-06,Electric,Passenger Vehicle,5
Asotin,2024-07,Electric,Passenger Vehicle,6
Asotin,2024-08,Electric,Passenger Vehicle,1
Asotin,2024-09,Electric,Motorcycle,1
Asotin,2024-09,Electric,Off Road Vehicle,1
Asotin,2024-09,Electric,Passenger Vehicle,10
Asotin,2024-10,Electric,Off Road Vehicle,1
Asotin,2024-10,Electric,Passenger Vehicle,4
Asotin,2024-11,Electric,Passenger Vehicle,3
Asotin,2024-12,Electric,Passenger Vehicle,3
Asotin,2025-01,Electric,Passenger Vehicle,5
Asotin,2025-01,Electric,Truck,3
Asotin,2025-02,Electric,Passenger Vehicle,6
Asotin,2025-02,Electric,Truck,1
Benton,2023-01,Electric,Neighborhood Electric Vehicle,1
Benton,2023-01,Electric,Passenger Vehicle,72
Benton,2023-01,Electric,Truck,3
Benton,2023-02,Electric,Neighborhood Electric Vehicle,1
Benton,2023-02,Electric,Passenger Vehicle,95
Benton,2023-02,Electric,Truck,4
Benton,2023-03,Electric,Medium-Speed Electric Truck,1
Benton,2023-03,Electric,Motorcycle,1
Benton,2023-03,Electric,Passenger Vehicle,123
Benton,2023-03,Electric,Truck,3
Benton,2023-04,Electric,Commercial,2
Benton,2023-04,Electric,Medium-Speed Electric Truck,1
Benton,2023-04,Electric,Medium-Speed Electric Vehicle,2
Benton,2023-04,Electric,Passenger Vehicle,109
Benton,2023-04,Electric,Truck,3
Benton,2023-05,Electric,Motorcycle,2
Benton,2023-05,Electric,Passenger Vehicle,89
Benton,2023-05,Electric,Truck,2
Benton,2023-06,Electric,Medium-Speed Electric Truck,2
Benton,2023-06,Electric,Medium-Speed Electric Vehicle,2
Benton,2023-06,Electric,Neighborhood Electric Vehicle,1
Benton,2023-06,Electric,Off Road Vehicle,1
Benton,2023-06,Electric,Passenger Vehicle,127
Benton,2023-06,Electric,Truck,3
Benton,2023-07,Electric,Commercial,1
Benton,2023-07,Electric,Medium-Speed Electric Truck,1
Benton,2023-07,Electric,Neighborhood Electric Vehicle,1
Benton,2023-07,Electric,Off Road Vehicle,2
Benton,2023-07,Electric,Passenger Vehicle,115
Benton,2023-07,Electric,Truck,2
Benton,2023-08,Electric,Commercial,1
Benton,2023-08,Electric,Medium-Speed Electric Truck,1
Benton,2023-08,Electric,Passenger Vehicle,130
Benton,2023-08,Electric,Truck,3
Benton,2023-09,Electric,Commercial,1
Benton,2023-09,Electric,Medium-Speed Electric Truck,1
Benton,2023-09,Electric,Neighborhood Electric Vehicle,1
Benton,2023-09,Electric,Passenger Vehicle,171
Benton,2023-09,Electric,Truck,5
Benton,2023-10,Electric,Commercial,1
Benton,2023-10,Electric,Passenger Vehicle,146
Benton,2023-10,Electric,Truck,3
Benton,2023-11,Electric,Commercial,2
Benton,2023-11,Electric,Medium-Speed Electric Truck,2
Benton,2023-11,Electric,Motorcycle,1
Benton,2023-11,Electric,Passenger Vehicle,126
Benton,2023-11,Electric,Truck,7
Benton,2023-12,Electric,Commercial,1
Benton,2023-12,Electric,Exempt (State/County/Local/Tribal),1
Benton,2023-12,Electric,Medium-Speed Electric Truck,1
Benton,2023-12,Electric,Neighborhood Electric Vehicle,1
Benton,2023-12,Electric,Passenger Vehicle,131
Benton,2023-12,Electric,Truck,1
Benton,2024-01,Electric,Commercial,3
Benton,2024-01,Electric,Medium-Speed Electric Vehicle,2
Benton,2024-01,Electric,Passenger Vehicle,129
Benton,2024-01,Electric,Truck,4
Benton,2024-02,Electric,Commercial,2
Benton,2024-02,Electric,Exempt (State/County/Local/Tribal),2
Benton,2024-02,Electric,Motorcycle,2
Benton,2024-02,Electric,Passenger Vehicle,123
Benton,2024-02,Electric,Truck,2
Benton,2024-03,Electric,Commercial,2
Benton,2024-03,Electric,Medium-Speed Electric Truck,1
Benton,2024-03,Electric,Neighborhood Electric Vehicle,1
Benton,2024-03,Electric,Passenger Vehicle,147
Benton,2024-03,Electric,Truck,5
Benton,2024-04,Electric,Commercial,2
Benton,2024-04,Electric,Medium-Speed Electric Truck,1
Benton,2024-04,Electric,Medium-Speed Electric Vehicle,1
Benton,2024-04,Electric,Motorcycle,1
Benton,2024-04,Electric,Off Road Vehicle,1
Benton,2024-04,Electric,Passenger Vehicle,157
Benton,2024-04,Electric,Truck,4
Benton,2024-05,Electric,Commercial,1
Benton,2024-05,Electric,Medium-Speed Electric Truck,1
Benton,2024-05,Electric,Motorcycle,4
Benton,2024-05,Electric,Neighborhood Electric Vehicle,1
Benton,2024-05,Electric,Passenger Vehicle,175
Benton,2024-05,Electric,Truck,2
Benton,2024-06,Electric,Commercial,1
Benton,2024-06,Electric,Medium-Speed Electric Truck,1
Benton,2024-06,Electric,Passenger Vehicle,160
Benton,2024-06,Electric,Truck,7
Benton,2024-07,Electric,Exempt (State/County/Local/Tribal),3
Benton,2024-07,Electric,Neighborhood Electric Vehicle,1
Benton,2024-07,Electric,Passenger Vehicle,191
Benton,2024-07,Electric,Truck,8
Benton,2024-08,Electric,Commercial,6
Benton,2024-08,Electric,Medium-Speed Electric Truck,2
Benton,2024-08,Electric,Motorcycle,1
Benton,2024-08,Electric,Neighborhood Electric Vehicle,2
Benton,2024-08,Electric,Off Road Vehicle,1
