date_local,observation_count,observation_percent,validity_indicator,pollutant_mean,first_max_value,aqi,local_site_name,state,county,city,cbsa,month,week
2024-01-01,1,100.0,Y,20.0,20.0,71.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,1
2024-01-02,1,100.0,Y,14.8,14.8,62.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,1
2024-01-03,1,100.0,Y,4.9,4.9,27.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,1
2024-01-04,1,100.0,Y,3.6,3.6,20.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,1
2024-01-05,1,100.0,Y,4.6,4.6,26.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,1
2024-01-06,1,100.0,Y,1.5,1.5,8.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,1
2024-01-07,1,100.0,Y,7.2,7.2,40.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,1
2024-01-08,1,100.0,Y,1.7,1.7,9.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,2
2024-01-09,1,100.0,Y,3.3,3.3,18.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,2
2024-01-10,1,100.0,Y,4.8,4.8,27.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,2
2024-01-11,1,100.0,Y,4.6,4.6,26.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,2
2024-01-12,1,100.0,Y,2.2,2.2,12.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,2
2024-01-13,1,100.0,Y,4.4,4.4,24.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,2
2024-01-14,1,100.0,Y,6.2,6.2,34.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,2
2024-01-15,1,100.0,Y,6.3,6.3,35.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,3
2024-01-16,1,100.0,Y,7.2,7.2,40.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,3
2024-01-17,1,100.0,Y,3.8,3.8,21.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,3
2024-01-18,1,100.0,Y,6.8,6.8,38.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,3
2024-01-19,1,100.0,Y,6.2,6.2,34.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,3
2024-01-20,1,100.0,Y,9.2,9.2,51.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,3
2024-01-21,1,100.0,Y,4.0,4.0,22.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,3
2024-01-22,1,100.0,Y,3.5,3.5,19.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,4
2024-01-23,1,100.0,Y,3.5,3.5,19.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,4
2024-01-24,1,100.0,Y,4.8,4.8,27.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,4
2024-01-25,1,100.0,Y,1.8,1.8,10.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,4
2024-01-26,1,100.0,Y,4.9,4.9,27.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,4
2024-01-27,1,100.0,Y,1.2,1.2,7.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,4
2024-01-28,1,100.0,Y,0.8,0.8,4.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,4
2024-01-29,1,100.0,Y,6.9,6.9,38.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,5
2024-01-30,1,100.0,Y,8.1,8.1,45.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,5
2024-01-31,1,100.0,Y,6.0,6.0,33.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",1,5
2024-02-01,1,100.0,Y,3.5,3.5,19.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,5
2024-02-02,1,100.0,Y,6.2,6.2,34.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,5
2024-02-03,1,100.0,Y,8.4,8.4,47.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,5
2024-02-04,1,100.0,Y,3.9,3.9,22.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,5
2024-02-05,1,100.0,Y,2.7,2.7,15.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,6
2024-02-06,1,100.0,Y,4.8,4.8,27.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,6
2024-02-07,1,100.0,Y,5.2,5.2,29.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,6
2024-02-08,1,100.0,Y,8.4,8.4,47.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,6
2024-02-09,1,100.0,Y,3.6,3.6,20.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,6
2024-02-10,1,100.0,Y,5.5,5.5,31.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,6
2024-02-11,1,100.0,Y,4.0,4.0,22.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,6
2024-02-12,1,100.0,Y,2.5,2.5,14.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,7
2024-02-13,1,100.0,Y,3.1,3.1,17.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,7
2024-02-14,1,100.0,Y,1.7,1.7,9.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,7
2024-02-15,1,100.0,Y,3.4,3.4,19.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,7
2024-02-16,1,100.0,Y,5.0,5.0,28.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,7
2024-02-17,1,100.0,Y,5.9,5.9,33.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,7
2024-02-18,1,100.0,Y,3.7,3.7,21.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,7
2024-02-19,1,100.0,Y,7.2,7.2,40.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,8
2024-02-20,1,100.0,Y,5.4,5.4,30.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,8
2024-02-21,1,100.0,Y,1.7,1.7,9.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,8
2024-02-22,1,100.0,Y,5.3,5.3,29.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,8
2024-02-23,1,100.0,Y,8.1,8.1,45.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,8
2024-02-24,1,100.0,Y,4.4,4.4,24.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,8
2024-02-25,1,100.0,Y,1.0,1.0,6.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,8
2024-02-26,1,100.0,Y,2.8,2.8,16.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,9
2024-02-27,1,100.0,Y,3.7,3.7,21.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,9
2024-02-28,1,100.0,Y,1.2,1.2,7.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,9
2024-02-29,1,100.0,Y,2.1,2.1,12.0,Seattle-10th & Weller,Washington,King,Seattle,"Seattle-Tacoma-Bellevue, WA",2,9
